url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://daotao.neu.edu.vn/vi/quy-dinh-cua-truong/quy-dinh-dao-tao-dai-hoc-he-chinh-quy-theo-he-thong-tin-chi-tai-truong-dai-hoc-kinh-te-quoc-dan-2,quy-dinh-dao-tao-tin-chi,Quy định đào tạo đại học hệ chính quy theo hệ thống tín chỉ,student,quan-ly-dao-tao,quy-dinh,vi,not-stated,public-source
https://mfe.neu.edu.vn/bo-quy-dinh-dao-tao-tin-chi-dhktqd-2/,bo-quy-dinh-dao-tao,Bộ quy định đào tạo tín chỉ ĐHKTQD,student,quan-ly-dao-tao,quy-dinh,vi,not-stated,public-source
